timestamp=2025-04-12 16:19:16,destinationhost=192.168.1.6,username=lsam28,sourcehost=node,sourceip=192.168.1.6,eventtype=SystemInitialized,filepath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,monitoredpath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,details=Security baseline initialized,filesize=0,filecreated=2025-04-12T16:19:16.250Z,filemodified=2025-04-12T16:19:16.251Z,filetype=N/A,processid=22129,processpath=/Users/lsam28/.nvm/versions/node/v22.4.1/bin/node,osversion=Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:06 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8103
timestamp=2025-04-12 16:19:16,destinationhost=192.168.1.6,username=lsam28,sourcehost=node,sourceip=192.168.1.6,eventtype=MonitoringStarted,filepath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,monitoredpath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,details=File system monitoring initiated,filesize=0,filecreated=2025-04-12T16:19:16.896Z,filemodified=2025-04-12T16:19:16.896Z,filetype=N/A,processid=22129,processpath=/Users/lsam28/.nvm/versions/node/v22.4.1/bin/node,osversion=Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:06 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8103
timestamp=2025-04-12 16:20:03,destinationhost=192.168.1.6,username=lsam28,sourcehost=node,sourceip=192.168.1.6,eventtype=FileModified,filepath=/Users/lsam28/Documents/FINALS/Sentinel-X/public/testfile/test.txt,monitoredpath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,details=File content changed,filesize=0,filecreated=2025-04-12T15:10:29.763Z,filemodified=2025-04-12T16:20:03.018Z,filetype=.txt,processid=22129,processpath=/Users/lsam28/.nvm/versions/node/v22.4.1/bin/node,osversion=Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:06 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8103,contentadded=,contentremoved=
timestamp=2025-04-12 16:20:12,destinationhost=192.168.1.6,username=lsam28,sourcehost=node,sourceip=192.168.1.6,eventtype=FileModified,filepath=/Users/lsam28/Documents/FINALS/Sentinel-X/public/testfile/test.txt,monitoredpath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,details=File content changed,filesize=6,filecreated=2025-04-12T15:10:29.763Z,filemodified=2025-04-12T16:20:12.187Z,filetype=.txt,processid=22129,processpath=/Users/lsam28/.nvm/versions/node/v22.4.1/bin/node,osversion=Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:06 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8103,contentadded=test 2,contentremoved=
timestamp=2025-04-12 16:20:21,destinationhost=192.168.1.6,username=lsam28,sourcehost=node,sourceip=192.168.1.6,eventtype=FileModified,filepath=/Users/lsam28/Documents/FINALS/Sentinel-X/public/testfile/test.txt,monitoredpath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,details=File content changed,filesize=18,filecreated=2025-04-12T15:10:29.763Z,filemodified=2025-04-12T16:20:21.734Z,filetype=.txt,processid=22129,processpath=/Users/lsam28/.nvm/versions/node/v22.4.1/bin/node,osversion=Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:06 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8103,contentadded=test 2 of test sad,contentremoved=test 2
timestamp=2025-04-12 16:25:59,destinationhost=192.168.1.6,username=lsam28,sourcehost=node,sourceip=192.168.1.6,eventtype=FolderDeleted,filepath=/Users/lsam28/Documents/FINALS/Sentinel-X/public/testfile,monitoredpath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,details=Folder deleted,processid=22129,processpath=/Users/lsam28/.nvm/versions/node/v22.4.1/bin/node,osversion=Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:06 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8103
timestamp=2025-04-12 16:25:59,destinationhost=192.168.1.6,username=lsam28,sourcehost=node,sourceip=192.168.1.6,eventtype=FileDeleted,filepath=/Users/lsam28/Documents/FINALS/Sentinel-X/public/testfile/test.txt,monitoredpath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,details=File deleted,processid=22129,processpath=/Users/lsam28/.nvm/versions/node/v22.4.1/bin/node,osversion=Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:06 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8103
timestamp=2025-04-12 16:28:09,destinationhost=192.168.1.6,username=lsam28,sourcehost=node,sourceip=192.168.1.6,eventtype=FileDeleted,filepath=/Users/lsam28/Documents/FINALS/Sentinel-X/public/fimlogs.log,monitoredpath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,details=File deleted,processid=22129,processpath=/Users/lsam28/.nvm/versions/node/v22.4.1/bin/node,osversion=Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:06 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8103
timestamp=2025-04-12 16:28:12,destinationhost=192.168.1.6,username=lsam28,sourcehost=node,sourceip=192.168.1.6,eventtype=FileDeleted,filepath=/Users/lsam28/Documents/FINALS/Sentinel-X/public/files-log.log,monitoredpath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,details=File deleted,processid=22129,processpath=/Users/lsam28/.nvm/versions/node/v22.4.1/bin/node,osversion=Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:06 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8103
timestamp=2025-04-12 16:34:43,destinationhost=192.168.1.6,username=lsam28,sourcehost=node,sourceip=192.168.1.6,eventtype=FolderCreated,filepath=/Users/lsam28/Documents/FINALS/Sentinel-X/public/untitled folder,monitoredpath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,details=New folder created,filesize=64,filecreated=2025-04-12T16:34:43.423Z,filemodified=2025-04-12T16:34:43.423Z,filetype=No extension,processid=22129,processpath=/Users/lsam28/.nvm/versions/node/v22.4.1/bin/node,osversion=Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:06 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8103
timestamp=2025-04-12 16:34:51,destinationhost=192.168.1.6,username=lsam28,sourcehost=node,sourceip=192.168.1.6,eventtype=FolderDeleted,filepath=/Users/lsam28/Documents/FINALS/Sentinel-X/public/untitled folder,monitoredpath=/Users/lsam28/Documents/FINALS/Sentinel-X/public,details=Folder deleted,processid=22129,processpath=/Users/lsam28/.nvm/versions/node/v22.4.1/bin/node,osversion=Darwin Kernel Version 24.3.0: Thu Jan  2 20:24:06 PST 2025; root:xnu-11215.81.4~3/RELEASE_ARM64_T8103
